Name,Gender,Frequency
Aitana,F,298
Landry,F,297
Alisha,F,296
Elin,F,296
Maliah,F,296
Belen,F,295
Briley,F,295
Raina,F,294
Vienna,F,294
Esperanza,F,293
Judith,F,292
Faye,F,291
Susan,F,290
Aliya,F,289
Aranza,F,289
Yasmin,F,289
Jaylin,F,288
Kyndall,F,288
Saniyah,F,288
Wendy,F,288
Yaritza,F,288
Azaria,F,287
Kaelynn,F,287
Neriah,F,287
Zainab,F,287
Alissa,F,286
Cherish,F,286
Dixie,F,286
Veda,F,286
Nala,F,285
Tabitha,F,285
Cordelia,F,284
Ellison,F,284
Meilani,F,284
Angeline,F,283
Reina,F,283
Tegan,F,283
Hadleigh,F,282
Harmoni,F,282
Kimora,F,282
Ingrid,F,281
Lilia,F,281
Luz,F,281
Aislinn,F,280
America,F,280
Ellis,F,280
Elora,F,280
Heather,F,280
Natalee,F,280
Miya,F,279
Heavenly,F,278
Jenny,F,278
Aubriella,F,277
Emmalee,F,277
Kensington,F,277
Kiana,F,277
Lilyanna,F,277
Tinley,F,277
Ophelia,F,276
Moriah,F,275
Sharon,F,275
Charlize,F,274
Abril,F,273
Avalyn,F,273
Mariyah,F,273
Taya,F,273
Ireland,F,272
Lyra,F,272
Noor,F,272
Sariyah,F,272
Giavanna,F,271
Stevie,F,271
Rhea,F,270
Zaylee,F,270
Denise,F,269
Frankie,F,269
Janiya,F,269
Jocelynn,F,269
Libby,F,269
Aubrianna,F,268
Kaitlynn,F,268
Princess,F,267
Sidney,F,267
Alianna,F,266
Mollie,F,266
Aadhya,F,265
Janae,F,265
Mattie,F,265
Tinsley,F,265
Aliah,F,264
Ari,F,264
Aubri,F,264
Kaidence,F,264
Danika,F,263
Jana,F,263
Mavis,F,263
Mercy,F,262
Antonia,F,261
India,F,261
Miley,F,261
Raylee,F,261
Antonella,F,260
Regan,F,260
Robin,F,260
Abrielle,F,259
Akira,F,259
Ayva,F,259
Cambria,F,259
Dani,F,259
Devyn,F,259
Mckayla,F,259
Rayne,F,259
Alyvia,F,258
Diamond,F,258
Abbigail,F,257
Diya,F,257
Poppy,F,257
Anais,F,255
Anniston,F,255
Dalia,F,255
Alisa,F,254
Ayana,F,254
Ellery,F,254
Addalyn,F,253
Charleston,F,253
Amora,F,252
Ellianna,F,252
Samiyah,F,252
Mylah,F,251
Amayah,F,250
Carlie,F,250
Robyn,F,250
Alaysia,F,249
Harleigh,F,249
Kaleigh,F,249
Temperance,F,249
Belle,F,248
Chandler,F,248
Cindy,F,248
Elina,F,248
Kaylani,F,248
Maddie,F,248
Shannon,F,248
Araceli,F,247
Audriana,F,247
Taryn,F,247
Macey,F,246
Londynn,F,245
Tamia,F,245
Bayleigh,F,244
Carina,F,244
Evalynn,F,244
Promise,F,244
Ayanna,F,243
Sonia,F,243
August,F,242
Austyn,F,242
Emmie,F,242
Etta,F,242
Ramona,F,242
Joelle,F,241
Paisleigh,F,241
Treasure,F,241
Aanya,F,240
Berkley,F,240
Everlee,F,240
Louise,F,240
Vada,F,240
Vivien,F,240
Renee,F,239
Meghan,F,238
Pyper,F,238
Patience,F,237
Spencer,F,237
Gwyneth,F,236
Kasey,F,236
Mercedes,F,236
Ailyn,F,235
Carleigh,F,235
Karleigh,F,235
Neveah,F,234
Rilynn,F,234
Saanvi,F,234
Sailor,F,234
Cristina,F,233
Honesty,F,233
Magdalena,F,233
Marian,F,233
Maylee,F,233
Carley,F,232
Scout,F,232
Maxine,F,231
Reign,F,231
Kourtney,F,230
Lesly,F,230
Taraji,F,230
Maren,F,229
Opal,F,229
Jurnee,F,228
Keily,F,228
Riya,F,228
Jubilee,F,227
Kylah,F,227
Tess,F,227
Rosalee,F,226
Addie,F,225
Adela,F,225
Fallon,F,225
Itzayana,F,225
Natalya,F,225
Adalee,F,224
Campbell,F,224
Krystal,F,224
Luisa,F,224
Makena,F,224
Samira,F,224
Micaela,F,222
Rosalyn,F,222
Adilene,F,221
Jenesis,F,221
Kailynn,F,221
Kelsie,F,221
Sally,F,221
Selina,F,221
Sherlyn,F,221
Whitley,F,221
Bree,F,220
Maisy,F,220
Marlowe,F,220
Violeta,F,220
Xiomara,F,220
Aubriana,F,219
Addalynn,F,218
Calliope,F,218
Kataleya,F,218
Royalty,F,218
Izabelle,F,217
Kamilah,F,217
Adilyn,F,216
Aleigha,F,216
Gracyn,F,216
Katerina,F,216
Larissa,F,216
Loretta,F,216
Sunny,F,216
Audrianna,F,215
Baylor,F,215
Blaire,F,215
Brynleigh,F,215
Elodie,F,215
Katrina,F,215
Novalee,F,215
Addelyn,F,214
Dalilah,F,214
Davina,F,214
Florence,F,214
Kaleah,F,214
Marlene,F,214
Selene,F,214
Alessia,F,213
Bryn,F,213
Della,F,213
Karma,F,213
Abbie,F,212
Cecily,F,212
Drew,F,212
Sylvie,F,212
Ila,F,211
Kamille,F,211
Milah,F,211
Tia,F,211
Winnie,F,211
Annelise,F,209
Beatrix,F,209
Emani,F,209
Lillyanna,F,209
Theresa,F,209
Kalia,F,208
Kaylen,F,208
Lillyana,F,208
Malayah,F,208
Deanna,F,207
Jacquelyn,F,207
Kinlee,F,207
Maritza,F,207
Marlie,F,207
Noel,F,207
Ailani,F,206
Amiah,F,206
Alora,F,205
Ezra,F,205
Stacy,F,205
Valery,F,205
Kinzley,F,204
Leela,F,204
Lianna,F,204
Giada,F,203
Raya,F,203
Seraphina,F,203
Violette,F,203
Brynley,F,202
Charity,F,202
Geneva,F,202
Tyler,F,202
Bexley,F,201
Caydence,F,201
Elayna,F,201
Preslee,F,201
Elia,F,200
Haleigh,F,200
Annabeth,F,199
Ashtyn,F,199
Coral,F,199
Soraya,F,199
Yara,F,199
Destinee,F,198
Kaley,F,198
Sanaa,F,198
Dania,F,197
Denver,F,197
Egypt,F,197
Janice,F,197
Mika,F,197
Anayah,F,196
Delia,F,196
Malani,F,196
Vivianna,F,196
Anneliese,F,195
Maryjane,F,195
Nahla,F,195
Nellie,F,195
Raylynn,F,195
Aliyana,F,194
Eisley,F,194
Estefania,F,194
Jovie,F,194
Karissa,F,194
Leilah,F,194
Miyah,F,194
Emerald,F,193
Karis,F,193
Kaycee,F,193
Leena,F,193
Brisa,F,192
Caleigh,F,192
Kendal,F,192
Belinda,F,191
Cassie,F,191
Lorena,F,191
Aiyanna,F,190
Audra,F,190
Britney,F,190
Kamiyah,F,190
Kaylyn,F,190
Susanna,F,190
Agnes,F,189
Ashton,F,189
Christiana,F,189
Mayra,F,189
Shea,F,189
Tianna,F,189
Ali,F,188
Margo,F,188
Nalani,F,188
Nya,F,188
Rita,F,188
Viola,F,188
Laniyah,F,187
Nyomi,F,187
Vida,F,187
Betty,F,186
Milagros,F,186
Skylynn,F,186
Alex,F,185
Haylie,F,185
Karli,F,185
Meera,F,185
Rylynn,F,185
Isabell,F,184
Aida,F,183
Bellamy,F,183
Bentley,F,183
Blessing,F,183
Gisselle,F,183
Ivana,F,183
Karmen,F,183
Kinleigh,F,183
Rachael,F,182
Kendyl,F,181
Malak,F,181
Shirley,F,181
Aarya,F,180
Irie,F,180
Maite,F,180
Roslyn,F,180
Yesenia,F,180
Asha,F,179
Harriet,F,179
Hayleigh,F,179
Kacey,F,179
Rebeca,F,179
Samiya,F,179
Clover,F,178
Karley,F,178
Kyrie,F,178
Lilyann,F,178
Reece,F,178
Roxanne,F,178
Annaleigh,F,177
Annaliese,F,177
Carson,F,177
Kayleen,F,177
Khadija,F,177
Linnea,F,177
Malka,F,177
Tamara,F,177
Toni,F,177
Annette,F,176
Brinlee,F,176
Guinevere,F,176
Luella,F,176
Palmer,F,176
Rihanna,F,176
Rubi,F,176
Saniya,F,176
Sarina,F,176
Cailyn,F,175
Colbie,F,175
Emalyn,F,175
Evelina,F,175
Kaitlin,F,175
